Contributors to Fishtest with >10,000 CPU hours, as of 2023-05-27.
Thank you!

Username                                CPU Hours     Games played
pirt                                        13100          1009897
Machariel                                   13010           863104
infinigon                                   12991           943216
Maxim                                       12963           985594
mabichito                                   12903           749391
thijsk                                      12886           722107
AdrianSA                                    12860           804972
Flopzee                                     12698           894821
korposzczur                                 12606           838168
Nullvalue                                   12583          1048502
fatmurphy                                   12547           853210
SapphireBrand                               12416           969604
Oakwen                                      12399           844109
deflectooor                                 12386           579392
modolief                                    12386           896470
Farseer                                     12249           694108
Jackfish                                    12180           801372
pgontarz                                    12151           848794
dbernier                                    12103           860824
getraideBFF                                 12072          1024966
stocky                                      11954           699440
mschmidt                                    11941           803401
MooTheCow                                   11870           773598
FormazChar                                  11689           877727
whelanh                                     11557           245188
infinity                                    11470           727027
aga                                         11412           695127
torbjo                                      11395           729145
Thomas A. Anderson                          11372           732094
savage84                                    11358           670860
d64                                         11263           789184
ali-al-zhrani                               11245           779246
snicolet                                    11106           869170
dapper                                      11032           771402
Karmatron                                   10828           677458
basepi                                      10637           744851
Cubox                                       10621           826448
michaelrpg                                  10509           739239
OIVAS7572                                   10420           995586
jojo2357                                    10419           929708
WoodMan777                                  10380           873720
Garruk                                      10365           706465
dzjp                                        10343           732529
ols                                         10259           570669
